0️⃣	клавіша: 0	0|клавіша|нуль
1️⃣	клавіша: 1	1|клавіша|один
2️⃣	клавіша: 2	2|два|клавіша
3️⃣	клавіша: 3	3|клавіша|три
4️⃣	клавіша: 4	4|клавіша|чотири
5️⃣	клавіша: 5	5|клавіша|пʼять
6️⃣	клавіша: 6	6|клавіша|шість
7️⃣	клавіша: 7	7|клавіша|сім
8️⃣	клавіша: 8	8|вісім|клавіша
9️⃣	клавіша: 9	9|девʼять|клавіша
©️	авторське право	авторське право|копірайт|с
®️	зареєстрована торговельна марка	зареєстрована торговельна марка|зареєстровано
‼️	подвійний знак оклику	!|!!|бенгбенг|знак оклику|лігатура|оклик|подвійний знак оклику|розділовий знак
⁉️	знак оклику і питання	!|!?|?|інтеробенг|не зрозуміло|оклик|питання|пунктуація|розділовий знак
™️	торговельна марка	tm|марка|торговельна марка
ℹ️	джерело інформації	i|джерело інформації|довідка|довідкове бюро|інформація
↔️	стрілка вліво-вправо	стрілка|стрілка вліво-вправо|стрілка праворуч і ліворуч|стрілки
↕️	стрілка вгору-вниз	стрілка|стрілка вгору та вниз|стрілка вгору-вниз
↖️	стрілка вгору вліво	напрям|північно-західний|проміжний|стрілка|стрілка вгору вліво|стрілка вгору та ліворуч
↗️	стрілка вгору вправо	на північний схід|напрям|північно-східний|стрілка|стрілка вгору вправо|четвертинний румб
↘️	стрілка вниз управо	напрям|південно-східний|проміжний|стрілка|стрілка вниз і праворуч|стрілка вниз управо
↙️	стрілка вниз уліво	діагональна стрілка донизу|напрям|південно-західний|проміжний|стрілка|стрілка вниз і ліворуч|стрілка вниз уліво
↩️	стрілка вправо з вигином уліво	стрілка|стрілка вправо з вигином уліво|стрілка повернути|стрілка праворуч із поворотом ліворуч
↪️	стрілка вліво з вигином управо	стрілка|стрілка вліво з вигином управо|стрілка ліворуч із поворотом праворуч
⌚	наручний годинник	годинник|наручний годинник
⌛	пісковий годинник	відлік часу|пісковий годинник|пісок|пісочний годинник|таймер
⌨️	клавіатура	клавіатура|комп’ютер
⏏️	кнопка витягання	вийняти|кнопка «Вийняти»|кнопка витягання
⏩	кнопка перемотування вперед	вперед|дві|кнопка «Перемотати вперед»|кнопка мотання вперед|кнопка перемотування вперед|перемотати|стрілка
⏪	кнопка перемотування назад	дві|кнопка «Швидко назад»|кнопка мотання назад|кнопка перемотування назад|перемотати|подвійна стрілка назад|стрілка
⏫	кнопка мотання вгору	дві|кнопка «Швидко вгору»|кнопка мотання вгору|подвійна стрілка|стрілка
⏬	кнопка мотання вниз	вниз|дві|кнопка «Швидко вниз»|кнопка мотання вниз|стрілка|стрілки донизу
⏭️	кнопка наступної композиції	кнопка «Наступна композиція»|кнопка наступної композиції|наступна композиція|наступна сцена|стрілка|трикутник
⏮️	кнопка повернення до попередньої композиції	кнопка «Остання композиція»|кнопка повернення до попередньої композиції|попередня композиція|попередня пісня|попередня сцена|стрілка|трикутник
⏯️	кнопка «Відтворити або призупинити»	відтворити|кнопка «Відтворити або призупинити»|пауза|правий|призупинити|стрілка|трикутник
⏰	будильник	будильник|годинник
⏱️	секундомір	будильник|годинник|секундомір
⏲️	таймер	годинник|секундомер|таймер
⏳	пісковий годинник із піском, який сиплеться	години|готово|життя одне|не|очікування|пісковий годинник|пісок|сипання|таймер
⏸️	кнопка паузи	вертикальна|дві|кнопка «Призупинити»|кнопка паузи|лінія|пауза
⏹️	кнопка стоп	зупинити|квадрат|кнопка «Припинити»|кнопка стоп|припинити
⏺️	кнопка запису	запис|кнопка «Запис»|кнопка запису|коло
Ⓜ️	коло з літерою «м»	коло|коло з літерою «м»|м|метро
▪️	малий чорний квадрат	геометричний|квадрат|малий чорний квадрат|чорний квадрат
▫️	малий білий квадрат	геометричний|квадрат|малий білий квадрат
▶️	кнопка відтворення	відтворити|вправо|кнопка «Відтворити»|кнопка відтворення|праворуч|стрілка|трикутник
◀️	кнопка реверсу	вліво|кнопка «Назад»|кнопка реверсу|назад|попередня пісня|стрілка|стрілка ліворуч|трикутник
◻️	середній білий квадрат	геометричний|квадрат|середній білий квадрат
◼️	середній чорний квадрат	геометричний|квадрат|середній чорний квадрат|чорний квадрат
◽	менший за середній білий квадрат	білий квадрат|геометричний|квадрат|менший за середній білий квадрат
◾	менший за середній чорний квадрат	геометричний|квадрат|менший за середній чорний квадрат|чорний квадрат
☀️	сонце	космос|погода|промені|сонце|сонячний|яскравий
☁️	хмара	погода|хмара
☂️	парасолька	дощ|одяг|парасолька|погода
☃️	сніговик	зима|погода|сніг|сніговик|холодний
☄️	комета	астероїд|комета|космос
☎️	телефон	телефон
☑️	клітинка з галочкою	✓|бюлетень|відмічена клітинка|галочка|клітина|клітинка з галочкою|позначка|поставити прапорець|прапорець
☔	парасолька з краплями дощу	дощ|крапля|одяг|парасолька|парасолька з краплями дощу|погода
