0️⃣	tecla: 0	0|cero|tecla
1️⃣	tecla: 1	1|tecla|uno
2️⃣	tecla: 2	2|dos|tecla
3️⃣	tecla: 3	3|tecla|tres
4️⃣	tecla: 4	4|cuatro|tecla
5️⃣	tecla: 5	5|cinco|tecla
6️⃣	tecla: 6	6|seis|tecla
7️⃣	tecla: 7	7|siete|tecla
8️⃣	tecla: 8	8|ocho|tecla
9️⃣	tecla: 9	9|nueve|tecla
©️	copyright	c|copyright|símbolo
®️	marca registrada	marca registrada|r|símbolo de marca registrada
‼️	exclamación doble	!!|exclamación|exclamación doble|puntuación|sorpresa
⁉️	exclamación e interrogación	!|!?|?|exclamación|exclamación e interrogación|interrogación
™️	símbolo de marca comercial	marca comercial|símbolo de marca comercial
ℹ️	información	i|información
↔️	flecha izquierda y derecha	derecha|dirección|flecha|flecha izquierda y derecha|izquierda
↕️	flecha arriba y abajo	abajo|arriba|dirección|flecha|flecha arriba y abajo
↖️	flecha hacia la esquina superior izquierda	arriba|dirección|flecha|flecha hacia la esquina superior izquierda|izquierda|noroeste
↗️	flecha hacia la esquina superior derecha	arriba|derecha|dirección|flecha|flecha hacia la esquina superior derecha|noreste
↘️	flecha hacia la esquina inferior derecha	abajo|derecha|dirección|flecha|flecha hacia la esquina inferior derecha|sudeste
↙️	flecha hacia la esquina inferior izquierda	abajo|dirección|flecha|flecha hacia la esquina inferior izquierda|izquierda|suroeste
↩️	flecha derecha curvándose a la izquierda	curva|dirección|flecha|flecha derecha curvándose a la izquierda|izquierda
↪️	flecha izquierda curvándose a la derecha	curva|derecha|dirección|flecha|flecha izquierda curvándose a la derecha
⌚	reloj	reloj
⌛	reloj de arena sin tiempo	arena|reloj|reloj de arena sin tiempo|temporizador
⌨️	teclado	ordenador|teclado
⏏️	expulsar	botón|expulsar
⏩	avance rápido	avance rápido|avanzar|doble|flecha
⏪	retroceso rápido	flecha|flecha doble a la izquierda|izquierda|rebobinado|rebobinar|retroceso rápido
⏫	triángulo doble hacia arriba	arriba|flecha|triángulo doble hacia arriba
⏬	triángulo doble hacia abajo	triángulo|triángulo doble abajo|triángulo doble hacia abajo
⏭️	pista siguiente	pista siguiente|raya vertical|siguiente|triángulos
⏮️	pista anterior	atrás|escena anterior|pista anterior|triángulo
⏯️	reproducir o pausa	pausa|reproducir|reproducir o pausa|triángulo
⏰	reloj despertador	alarma|despertador|reloj
⏱️	cronómetro	cronómetro|reloj
⏲️	temporizador	reloj|temporizador
⏳	reloj de arena con tiempo	reloj con arena cayendo|reloj de arena con tiempo|temporizador
⏸️	pausa	barras|botón|pausa|vertical
⏹️	detener	botón|cuadrado|detener|parar
⏺️	grabar	botón|círculo|grabar
Ⓜ️	m en círculo	círculo|m|m en círculo
▪️	cuadrado negro pequeño	cuadrado|cuadrado negro pequeño|geometría|negro
▫️	cuadrado blanco pequeño	blanco|cuadrado|cuadrado blanco pequeño|geometría
▶️	reproducir	botón de reproducción|flecha|reproducir|triángulo
◀️	retroceso	izquierda|retroceso|triángulo
◻️	cuadrado blanco mediano	blanco|cuadrado|cuadrado blanco mediano|geometría
◼️	cuadrado negro mediano	cuadrado|cuadrado negro mediano|geometría|negro
◽	cuadrado blanco mediano-pequeño	blanco|cuadrado|cuadrado blanco mediano-pequeño|geometría
◾	cuadrado negro mediano-pequeño	cuadrado|cuadrado negro mediano-pequeño|geometría|negro
☀️	sol	espacio|rayos|sol|soleado
☁️	nube	nube|tiempo
☂️	paraguas	lluvia|paraguas|paraguas abierto
☃️	muñeco de nieve con nieve	muñeco de nieve con nieve|nieve
☄️	meteorito	cometa|espacio|meteorito
☎️	teléfono	teléfono
☑️	casilla con marca de verificación	✓|casilla|casilla con marca de verificación|marca|selección|verificación
☔	paraguas con gotas de lluvia	gotas|lluvia|paraguas|paraguas con gotas de lluvia
☕	bebida caliente	bebida|café|caliente|té
☘️	trébol	planta|trébol
☝️	dedo índice hacia arriba	apuntar|arriba|dedo|dedo índice hacia arriba|mano
☠️	calavera y huesos cruzados	calavera|calavera y huesos cruzados|cara|huesos|muerte
☢️	radiactivo	radiactividad|radiactivo|radioactividad|radioactivo|señal
☣️	riesgo biológico	peligro|riesgo biológico|señal
☦️	cruz ortodoxa	cruz|cruz ortodoxa|religión
☪️	media luna y estrella	estrella|islam|luna|media luna y estrella|religión
☮️	símbolo de la paz	paz|símbolo de la paz
☯️	yin yang	religión|taoísmo|yang|yin
☸️	rueda del dharma	budismo|dharma|religión|rueda|rueda del dharma
☹️	cara con el ceño fruncido	cara|cara con el ceño fruncido|ceño|fruncido
☺️	cara sonriente	cara|cara sonriente|contorno|relajado|sonrisa
♀️	signo femenino	mujer|signo|signo femenino|símbolo
♂️	signo masculino	hombre|signo|signo masculino|símbolo
♈	Aries	Aries|carnero|horóscopo|zodiaco
♉	Tauro	buey|horóscopo|Tauro|toro|zodiaco
♊	Géminis	gemelos|Géminis|horóscopo|zodiaco
♋	Cáncer	Cáncer|cangrejo|horóscopo|zodiaco
♌	Leo	horóscopo|Leo|león|zodiaco
♍	Virgo	horóscopo|Virgo|zodiaco
♎	Libra	balanza|escala|horóscopo|justicia|Libra|zodiaco
♏	Escorpio	Escorpio|escorpión|horóscopo|zodiaco
♐	Sagitario	arquero|horóscopo|Sagitario|zodiaco
♑	Capricornio	cabra|Capricornio|horóscopo|zodiaco
♒	Acuario	Acuario|agua|horóscopo|zodiaco
♓	Piscis	horóscopo|pescado|pez|Piscis|zodiaco
♟️	peón de ajedrez	ajedrez|peón|peón de ajedrez
♠️	palo de picas	carta|juego|palo|palo de picas|picas
♣️	palo de tréboles	carta|juego|palo|palo de tréboles|tréboles
♥️	palo de corazones	carta|corazones|juego|palo|palo de corazones
♦️	palo de diamantes	carta|diamantes|juego|palo|palo de diamantes
♨️	aguas termales	aguas termales|termas|vapor
♻️	símbolo de reciclaje	reciclaje|reciclar|señal|símbolo de reciclaje|símbolo universal de reciclaje sólido|universal
♾️	infinito	ilimitado|infinito|siempre|universal
♿	símbolo de silla de ruedas	acceso|señal|silla|silla de ruedas|símbolo|símbolo de silla de ruedas
⚒️	martillo y pico	herramienta|martillo|martillo y pico|pico
⚓	ancla	ancla|barco|gancho
⚔️	espadas cruzadas	arma|cruzadas|espadas
⚕️	símbolo de medicina	asclepio|esculapio|medicina|serpiente|símbolo de medicina
⚖️	balanza	balanza|justicia|libra|peso|zodiaco
⚗️	alambique	alambique|herramienta|química
⚙️	engranaje	engranaje|herramienta
⚛️	símbolo de átomo	átomo|símbolo|símbolo de átomo
⚜️	flor de lis	flor|flor de lis|lis
⚠️	advertencia	advertencia|cuidado|señal
⚡	alto voltaje	alto voltaje|electricidad|peligro|peligro de alto voltaje|señal de alto voltaje|voltaje
⚧️	símbolo de transgénero	símbolo de transgénero|transgénero
⚪	círculo blanco	círculo|círculo blanco|geometría
⚫	círculo negro	círculo|círculo negro|geometría
⚰️	ataúd	ataúd|muerte
⚱️	urna funeraria	funeraria|muerte|urna
⚽	balón de fútbol	balón|balón de fútbol|fútbol
⚾	béisbol	balón|baseball|béisbol|pelota
⛄	muñeco de nieve	muñeco de nieve|muñeco de nieve sin nieve|nieve
⛅	sol detrás de una nube	nube|sol|sol con nubes|sol detrás de una nube
⛈️	nube con rayo y lluvia	lluvia|nube|nube con rayo y lluvia|trueno
⛎	Ofiuco	horóscopo|Ofiuco|portador|serpiente|zodiaco
⛏️	pico	herramienta|mina|pico
⛑️	casco con una cruz blanca	ayuda|cara|casco|casco con una cruz blanca|cruz
⛓️	cadenas	cadena|cadenas
⛓️‍💥	cadena rota	cadena|cadena rota|esposas|libertad|romper|rotura
⛔	dirección prohibida	dirección prohibida|no|prohibido|señal|señal de dirección prohibida
⛩️	santuario sintoísta	japón|religión|santuario|santuario sintoísta|sintoísmo
⛪	iglesia	cristianismo|cruz|edificio|iglesia|religión
⛰️	montaña	montaña|monte
⛱️	sombrilla en la arena	arena|sol|sombrilla|sombrilla en la arena
⛲	fuente	fuente
⛳	banderín en hoyo	banderín|banderín en hoyo|golf|hoyo
⛴️	ferri	barco|ferri|ferry
⛵	velero	barco|barco de vela|velero|yate
⛷️	persona esquiando	esquí|esquiador|nieve|persona esquiando
⛸️	patín de hielo	hielo|patín|patín de hielo
⛹️	persona botando un balón	balón|botar|pelota|persona botando un balón
⛹️‍♀️	mujer botando un balón	balón|botar|mujer|mujer botando un balón|pelota
⛹️‍♂️	hombre botando un balón	balón|botar|hombre|hombre botando un balón|pelota
⛺	tienda de campaña	campaña|camping|tienda|tienda de campaña|vacaciones
⛽	surtidor de gasolina	bomba de gasolina|combustible|gasolina|surtidor|surtidor de gasolina
✂️	tijeras	cortar|herramienta|tijeras
✅	botón de marca de verificación	✓|botón|botón de marca de verificación|marca|selección|verificación
✈️	avión	aeroplano|avión
✉️	sobre	carta|correo|sobre
✊	puño en alto	cerrado|mano|puñetazo|puño|puño en alto
✋	mano levantada	choca esos cinco|levantada|mano
✌️	mano con señal de victoria	mano|mano con señal de victoria|señal de victoria|victoria
✍️	mano escribiendo	escribir|lápiz|mano|mano escribiendo
✏️	lápiz	escolar|escribir|lapicero|lápiz
✒️	pluma negra	bolígrafo|escribir|pluma|pluma negra|tinta
✔️	marca de verificación	✓|marca|marca de verificación|selección|verificación
✖️	multiplicación	×|cancelar|marca|multiplicación|prohibido|signo de multiplicación|x
✝️	cruz latina	cristianismo|cruz|cruz latina|religión
✡️	estrella de David	David|estrella|judaísmo|judío|religión
✨	chispas	*|bengala|chispas|estrellas
✳️	asterisco de ocho puntas	*|asterisco|asterisco de ocho puntas
✴️	estrella de ocho puntas	*|estrella|estrella de ocho puntas
❄️	copo de nieve	copo de nieve|frío|nieve
❇️	chispa	*|chispa
❌	marca de cruz	×|cancelar|cruz|marca de cruz|marca de tachado|tachar|x
❎	botón con marca de cruz	×|botón con marca de cruz|casilla|cruz|marca|x
❓	interrogación roja	?|interrogación|interrogación roja|pregunta|puntuación|signo de interrogación
❔	interrogación blanca	?|interrogación|interrogación blanca|pregunta|puntuación
❕	exclamación blanca	!|exclamación|exclamación blanca|puntuación
❗	exclamación roja	!|exclamación|exclamación roja|puntuación|signo de exclamación
❣️	exclamación de corazón	corazón|exclamación|exclamación de corazón|puntuación
❤️	corazón rojo	corazón|emoción|rojo
❤️‍🔥	corazón en llamas	amor|corazón|corazón en llamas|fuego|llamas|lujuria|pasión
❤️‍🩹	corazón vendado	bien|corazón vendado|curarse|mejor|mejorar|recuperación|salud
➕	más	+|más|signo|suma
➖	menos	-|−|menos|resta|signo
➗	división	÷|división|signo|signo de división
➡️	flecha hacia la derecha	derecha|dirección|este|flecha|flecha hacia la derecha
➰	bucle	bucle|giro|tirabuzón
➿	bucle doble	bucle|doble
⤴️	flecha derecha curvándose hacia arriba	arriba|curva|dirección|flecha|flecha derecha curvándose hacia arriba
⤵️	flecha derecha curvándose hacia abajo	abajo|curva|dirección|flecha|flecha derecha curvándose hacia abajo
⬅️	flecha hacia la izquierda	flecha|flecha hacia la izquierda|izquierda|oeste
⬆️	flecha hacia arriba	dirección|flecha|flecha arriba|flecha hacia arriba|norte
⬇️	flecha hacia abajo	abajo|dirección|flecha|flecha hacia abajo|sur
⬛	cuadrado negro grande	cuadrado|cuadrado negro grande|geometría|negro
⬜	cuadrado blanco grande	blanco|cuadrado|cuadrado blanco grande|geometría
⭐	estrella	estelar|estrella
⭕	círculo rojo hueco	aro|círculo|círculo rojo hueco|o|rojo
〰️	guion ondulado	guion|marca de sonido largo|ondulado
〽️	marca de alternancia	alternancia|marca|marca de alternancia
㊗️	ideograma japonés para "enhorabuena"	enhorabuena|ideograma|ideograma japonés para "enhorabuena"|japonés|kanji
㊙️	ideograma japonés para "secreto"	ideograma|ideograma japonés para "secreto"|japonés|kanji|secreto
🀄	dragón rojo de mahjong	dragón rojo|dragón rojo de mahjong|juego|mahjong
🃏	comodín	comodín|joker
🅰️	grupo sanguíneo A	A|grupo|sanguíneo|tipo A
🅱️	grupo sanguíneo B	B|grupo|sanguíneo|tipo B
🅾️	grupo sanguíneo tipo O	grupo sanguíneo|grupo sanguíneo tipo O|o
🅿️	aparcamiento	aparcamiento|p|parking
🆎	grupo sanguíneo AB	AB|grupo|sanguíneo|tipo AB
🆑	borrar	borrar|símbolo
🆒	botón COOL	botón|cool|mola
🆓	botón FREE	botón FREE|gratis|símbolo gratis
🆔	símbolo de identificación	ID|identidad|símbolo de identificación|símbolo identidad
🆕	botón NEW	botón|NEW|nuevo
🆖	botón NG	botón|ng|nuevo
🆗	botón OK	botón|ok
🆘	símbolo de socorro	ayuda|símbolo|símbolo de socorro|socorro|sos
🆙	botón UP!	arriba|botón UP!|información|novedad|símbolo|up
🆚	botón VS	botón VS|contra|frente a|símbolo|versus|vs
🈁	ideograma japonés para "aquí"	“aquí”|ideograma japonés para "aquí"|japonés|katakana
🈂️	ideograma japonés para "de cortesía"	cortesía|ideograma japonés para "de cortesía"|japonés|katakana
🈚	ideograma japonés para "gratis"	gratis|ideograma|ideograma japonés para "gratis"|japonés|kanji
🈯	ideograma japonés para "reservado"	ideograma|ideograma japonés para "reservado"|japonés|kanji|reservado
🈲	ideograma japonés para "prohibido"	ideograma|ideograma japonés para "prohibido"|japonés|kanji|prohibido
🈳	ideograma japonés para "vacante"	ideograma|ideograma japonés para "vacante"|japonés|kanji|vacante
